id,productId,date,note,createdAt,updatedAt
1,1,2004-01-01,,2022-11-26,2022-11-26
2,2,2004-01-02,,2022-11-26,2022-11-26
3,3,2004-01-03,,2022-11-26,2022-11-26
4,4,2004-01-04,,2022-11-26,2022-11-26
5,5,2004-01-05,,2022-11-26,2022-11-26
6,6,2004-01-06,,2022-11-26,2022-11-26
7,7,2004-01-07,,2022-11-26,2022-11-26
8,8,2004-01-08,,2022-11-26,2022-11-26
9,9,2004-01-09,,2022-11-26,2022-11-26
10,10,2004-01-10,,2022-11-26,2022-11-26
11,11,2004-01-11,,2022-11-26,2022-11-26
12,12,2004-01-12,,2022-11-26,2022-11-26
13,13,2004-01-13,,2022-11-26,2022-11-26
14,14,2004-01-14,,2022-11-26,2022-11-26
15,15,2004-01-15,,2022-11-26,2022-11-26
16,16,2004-01-16,,2022-11-26,2022-11-26
17,17,2004-01-17,,2022-11-26,2022-11-26
18,18,2004-01-18,,2022-11-26,2022-11-26
19,19,2004-01-19,,2022-11-26,2022-11-26
20,20,2004-01-20,,2022-11-26,2022-11-26
21,21,2004-01-21,,2022-11-26,2022-11-26
22,22,2004-01-22,,2022-11-26,2022-11-26
23,23,2004-01-23,,2022-11-26,2022-11-26
24,24,2004-01-24,,2022-11-26,2022-11-26
25,25,2004-01-25,,2022-11-26,2022-11-26
26,26,2004-01-26,,2022-11-26,2022-11-26
27,27,2004-01-27,,2022-11-26,2022-11-26
28,28,2004-01-28,,2022-11-26,2022-11-26
29,29,2004-01-29,,2022-11-26,2022-11-26
30,30,2004-01-30,,2022-11-26,2022-11-26
31,31,2004-01-31,,2022-11-26,2022-11-26
32,32,2004-02-01,,2022-11-26,2022-11-26
33,33,2004-02-02,,2022-11-26,2022-11-26
34,34,2004-02-03,,2022-11-26,2022-11-26
35,35,2004-02-04,,2022-11-26,2022-11-26
36,36,2004-02-05,,2022-11-26,2022-11-26
37,37,2004-02-06,,2022-11-26,2022-11-26
38,38,2004-02-07,,2022-11-26,2022-11-26
39,39,2004-02-08,,2022-11-26,2022-11-26
40,40,2004-02-09,,2022-11-26,2022-11-26
41,41,2004-02-10,,2022-11-26,2022-11-26
42,42,2004-02-11,,2022-11-26,2022-11-26
43,43,2004-02-12,,2022-11-26,2022-11-26
44,44,2004-02-13,,2022-11-26,2022-11-26
45,45,2004-02-14,,2022-11-26,2022-11-26
46,46,2004-02-15,,2022-11-26,2022-11-26
47,47,2004-02-16,,2022-11-26,2022-11-26
48,48,2004-02-17,,2022-11-26,2022-11-26
49,49,2004-02-18,,2022-11-26,2022-11-26
50,50,2004-02-19,,2022-11-26,2022-11-26
51,51,2004-02-20,,2022-11-26,2022-11-26
52,52,2004-02-21,,2022-11-26,2022-11-26
53,53,2004-02-22,,2022-11-26,2022-11-26
54,54,2004-02-23,,2022-11-26,2022-11-26
55,55,2004-02-24,,2022-11-26,2022-11-26
56,56,2004-02-25,,2022-11-26,2022-11-26
57,57,2004-02-26,,2022-11-26,2022-11-26
58,58,2004-02-27,,2022-11-26,2022-11-26
59,59,2004-02-28,,2022-11-26,2022-11-26
60,60,2004-02-29,,2022-11-26,2022-11-26
61,61,2004-03-01,,2022-11-26,2022-11-26
62,62,2004-03-02,,2022-11-26,2022-11-26
63,63,2004-03-03,,2022-11-26,2022-11-26
64,64,2004-03-04,,2022-11-26,2022-11-26
65,65,2004-03-05,,2022-11-26,2022-11-26
66,66,2004-03-06,,2022-11-26,2022-11-26
67,67,2004-03-07,,2022-11-26,2022-11-26
68,68,2004-03-08,,2022-11-26,2022-11-26
69,69,2004-03-09,,2022-11-26,2022-11-26
70,70,2004-03-10,,2022-11-26,2022-11-26
71,71,2004-03-11,,2022-11-26,2022-11-26
72,72,2004-03-12,,2022-11-26,2022-11-26
73,73,2004-03-13,,2022-11-26,2022-11-26
74,74,2004-03-14,,2022-11-26,2022-11-26
75,75,2004-03-15,,2022-11-26,2022-11-26
76,76,2004-03-16,,2022-11-26,2022-11-26
77,77,2004-03-17,,2022-11-26,2022-11-26
78,78,2004-03-18,,2022-11-26,2022-11-26
79,79,2004-03-19,,2022-11-26,2022-11-26
80,80,2004-03-20,,2022-11-26,2022-11-26
81,81,2004-03-21,,2022-11-26,2022-11-26
82,82,2004-03-22,,2022-11-26,2022-11-26
83,83,2004-03-23,,2022-11-26,2022-11-26
84,84,2004-03-24,,2022-11-26,2022-11-26
85,85,2004-03-25,,2022-11-26,2022-11-26
86,86,2004-03-26,,2022-11-26,2022-11-26
87,87,2004-03-27,,2022-11-26,2022-11-26
88,88,2004-03-28,,2022-11-26,2022-11-26
89,89,2004-03-29,,2022-11-26,2022-11-26
90,90,2004-03-30,,2022-11-26,2022-11-26
91,91,2004-03-31,,2022-11-26,2022-11-26
92,92,2004-04-01,,2022-11-26,2022-11-26
93,93,2004-04-02,,2022-11-26,2022-11-26
94,94,2004-04-03,,2022-11-26,2022-11-26
95,95,2004-04-04,,2022-11-26,2022-11-26
96,96,2004-04-05,,2022-11-26,2022-11-26
97,97,2004-04-06,,2022-11-26,2022-11-26
98,98,2004-04-07,,2022-11-26,2022-11-26
99,99,2004-04-08,,2022-11-26,2022-11-26
100,100,2004-04-09,,2022-11-26,2022-11-26
101,101,2004-04-10,,2022-11-26,2022-11-26
102,102,2004-04-11,,2022-11-26,2022-11-26
103,103,2004-04-12,,2022-11-26,2022-11-26
104,104,2004-04-13,,2022-11-26,2022-11-26
105,105,2004-04-14,,2022-11-26,2022-11-26
106,106,2004-04-15,,2022-11-26,2022-11-26
107,107,2004-04-16,,2022-11-26,2022-11-26
108,108,2004-04-17,,2022-11-26,2022-11-26
109,109,2004-04-18,,2022-11-26,2022-11-26
110,110,2004-04-19,,2022-11-26,2022-11-26
111,111,2004-04-20,,2022-11-26,2022-11-26
112,112,2004-04-21,,2022-11-26,2022-11-26
113,113,2004-04-22,,2022-11-26,2022-11-26
114,114,2004-04-23,,2022-11-26,2022-11-26
115,115,2004-04-24,,2022-11-26,2022-11-26
116,116,2004-04-25,,2022-11-26,2022-11-26
117,117,2004-04-26,,2022-11-26,2022-11-26
118,118,2004-04-27,,2022-11-26,2022-11-26
