id,productId,date,note,createdAt,updatedAt
1,200,2005-01-01,,2022-11-26,2022-11-26
2,201,2005-01-02,,2022-11-26,2022-11-26
3,202,2005-01-03,,2022-11-26,2022-11-26
4,203,2005-01-04,,2022-11-26,2022-11-26
5,204,2005-01-05,,2022-11-26,2022-11-26
6,205,2005-01-06,,2022-11-26,2022-11-26
7,206,2005-01-07,,2022-11-26,2022-11-26
8,207,2005-01-08,,2022-11-26,2022-11-26
9,208,2005-01-09,,2022-11-26,2022-11-26
10,209,2005-01-10,,2022-11-26,2022-11-26
11,210,2005-01-11,,2022-11-26,2022-11-26
12,211,2005-01-12,,2022-11-26,2022-11-26
13,212,2005-01-13,,2022-11-26,2022-11-26
14,213,2005-01-14,,2022-11-26,2022-11-26
15,214,2005-01-15,,2022-11-26,2022-11-26
16,215,2005-01-16,,2022-11-26,2022-11-26
17,216,2005-01-17,,2022-11-26,2022-11-26
18,217,2005-01-18,,2022-11-26,2022-11-26
19,218,2005-01-19,,2022-11-26,2022-11-26
20,219,2005-01-20,,2022-11-26,2022-11-26
21,220,2005-01-21,,2022-11-26,2022-11-26
22,221,2005-01-22,,2022-11-26,2022-11-26
23,222,2005-01-23,,2022-11-26,2022-11-26
24,223,2005-01-24,,2022-11-26,2022-11-26
25,224,2005-01-25,,2022-11-26,2022-11-26
26,225,2005-01-26,,2022-11-26,2022-11-26
27,226,2005-01-27,,2022-11-26,2022-11-26
28,227,2005-01-28,,2022-11-26,2022-11-26
29,228,2005-01-29,,2022-11-26,2022-11-26
30,229,2005-01-30,,2022-11-26,2022-11-26
31,230,2005-01-31,,2022-11-26,2022-11-26
32,231,2005-02-01,,2022-11-26,2022-11-26
33,232,2005-02-02,,2022-11-26,2022-11-26
34,233,2005-02-03,,2022-11-26,2022-11-26
35,234,2005-02-04,,2022-11-26,2022-11-26
36,235,2005-02-05,,2022-11-26,2022-11-26
37,236,2005-02-06,,2022-11-26,2022-11-26
38,237,2005-02-07,,2022-11-26,2022-11-26
39,238,2005-02-08,,2022-11-26,2022-11-26
40,239,2005-02-09,,2022-11-26,2022-11-26
